student_id,full_name,attendance_percentage
32736,"Priya Pandey",100.00
32742,"Tanmay Menon",100.00
32749,"Varun Khanna",100.00
32754,"Aman Agarwal",100.00
32761,"Diya Verma",100.00
32780,"Aditi Verma",100.00
32789,"Aarav Menon",100.00
32793,"Yash Reddy",100.00
32800,"Varun Choudhary",100.00
32820,"Rohan Das",100.00
32825,"Kavya Joshi",100.00
32828,"Ritika Jain",100.00
32832,"Pooja Choudhary",100.00
32834,"Kavya Reddy",100.00
32864,"Diya Reddy",100.00
32869,"Tanmay Reddy",100.00
32879,"Aditi Ghosh",100.00
32891,"Rohan Mehta",100.00
32892,"Nikhil Pandey",100.00
32898,"Ritika Pandey",100.00
32900,"Yash Joshi",100.00
32902,"Ishaan Mehta",100.00
32913,"Krishna Joshi",100.00
32927,"Deepak Choudhary",100.00
32937,"Ritika Dubey",100.00
32942,"Ritika Thakur",100.00
32943,"Neha Kapoor",100.00
32945,"Om Verma",100.00
32952,"Deepak Choudhary",100.00
32953,"Rahul Nair",100.00
32968,"Neha Rao",100.00
32969,"Sneha Verma",100.00
32973,"Krishna Dubey",100.00
32978,"Deepak Iyer",100.00
32993,"Nikhil Iyer",100.00
32997,"Deepak Nair",100.00
33001,"Priya Nair",100.00
33012,"Ritesh Khanna",100.00
33013,"Nikhil Bansal",100.00
33024,"Varun Gupta",100.00
33047,"Om Bansal",100.00
33070,"Yash Nair",100.00
33080,"Sneha Gupta",100.00
33081,"Mohit Jain",100.00
33101,"Manav Iyer",100.00
33102,"Arjun Sinha",100.00
33105,"Siddharth Sinha",100.00
33152,"Om Bansal",100.00
33170,"Dev Nair",100.00
33172,"Aman Dubey",100.00
33206,"Rohan Das",100.00
33216,"Nikhil Bansal",100.00
33219,"Sai Menon",100.00
33224,"Sneha Menon",100.00
33226,"Aman Nair",100.00
33227,"Arjun Menon",100.00
33235,"Vivaan Sinha",100.00
33236,"Aditya Iyer",100.00
33244,"Tanmay Thakur",100.00
33248,"Kunal Sharma",100.00
33267,"Dev Patel",100.00
33268,"Diya Menon",100.00
33284,"Arjun Jain",100.00
33335,"Aman Pandey",100.00
33336,"Deepak Verma",100.00
33350,"Ritesh Thakur",100.00
33351,"Om Ghosh",100.00
33372,"Tanmay Thakur",100.00
33384,"Aditi Sharma",100.00
33387,"Sai Reddy",100.00
33403,"Sneha Nair",100.00
33414,"Ishaan Choudhary",100.00
33419,"Mohit Reddy",100.00
33423,"Aditya Ghosh",100.00
33434,"Harsh Verma",100.00
33438,"Ishaan Bansal",100.00
33442,"Deepak Mehta",100.00
33445,"Aarav Iyer",100.00
33463,"Yash Sinha",100.00
33474,"Ishaan Rao",100.00
33475,"Kavya Dubey",100.00
33488,"Dev Verma",100.00
33489,"Tanmay Gupta",100.00
33490,"Rohan Reddy",100.00
33496,"Sneha Iyer",100.00
33534,"Nikhil Bansal",100.00
33553,"Ritika Patel",100.00
33558,"Om Agarwal",100.00
33563,"Kavya Pandey",100.00
33585,"Ananya Jain",100.00
33602,"Pooja Verma",100.00
33621,"Kunal Choudhary",100.00
33624,"Aditi Nair",100.00
33630,"Yash Joshi",100.00
33638,"Tanmay Choudhary",100.00
33654,"Sneha Sharma",100.00
33657,"Siddharth Kapoor",100.00
33663,"Diya Verma",100.00
33669,"Neha Iyer",100.00
33674,"Sai Ghosh",100.00
33681,"Rohan Rao",100.00
33688,"Sneha Menon",100.00
33694,"Ritika Sharma",100.00
33716,"Yash Khanna",100.00
33720,"Ishaan Ghosh",100.00
33730,"Nikhil Nair",100.00
33733,"Nikhil Agarwal",100.00
33738,"Aditya Khanna",100.00
33753,"Sneha Pandey",100.00
33756,"Arjun Ghosh",100.00
33787,"Sai Iyer",100.00
33794,"Yash Pandey",100.00
33802,"Pooja Bansal",100.00
33826,"Diya Mehta",100.00
33838,"Krishna Joshi",100.00
33840,"Tanmay Rao",100.00
33854,"Nikhil Mehta",100.00
33875,"Varun Kapoor",100.00
33876,"Ishaan Sinha",100.00
33888,"Meera Kapoor",100.00
33890,"Manav Dubey",100.00
33894,"Ritika Ghosh",100.00
33898,"Deepak Thakur",100.00
33902,"Sai Thakur",100.00
33933,"Ananya Rao",100.00
33940,"Tanmay Nair",100.00
33957,"Tanmay Reddy",100.00
33994,"Aman Ghosh",100.00
34000,"Manav Mehta",100.00
34010,"Meera Verma",100.00
34017,"Manav Choudhary",100.00
34023,"Ananya Rao",100.00
34036,"Tanmay Kapoor",100.00
34049,"Deepak Choudhary",100.00
34053,"Nikhil Joshi",100.00
34054,"Ritesh Iyer",100.00
34061,"Harsh Das",100.00
34064,"Pooja Das",100.00
34073,"Priya Dubey",100.00
34076,"Harsh Gupta",100.00
34080,"Yash Iyer",100.00
34114,"Krishna Rao",100.00
34119,"Rohan Dubey",100.00
34131,"Arjun Bansal",100.00
34136,"Rohan Iyer",100.00
34172,"Rahul Choudhary",100.00
34174,"Sneha Iyer",100.00
34179,"Rahul Agarwal",100.00
34184,"Varun Patel",100.00
34185,"Rohan Ghosh",100.00
34187,"Varun Patel",100.00
34195,"Ritika Verma",100.00
34244,"Aman Nair",100.00
34247,"Mohit Gupta",100.00
34262,"Aditya Rao",100.00
34267,"Ritika Reddy",100.00
34299,"Siddharth Thakur",100.00
34300,"Aditi Menon",100.00
34302,"Krishna Mehta",100.00
34304,"Aman Das",100.00
34327,"Tanmay Reddy",100.00
34342,"Nikhil Dubey",100.00
34346,"Neha Gupta",100.00
34358,"Rohan Nair",100.00
34359,"Kunal Kapoor",100.00
34361,"Ritesh Verma",100.00
34374,"Meera Verma",100.00
34387,"Ritesh Choudhary",100.00
34389,"Ritesh Ghosh",100.00
34399,"Yash Patel",100.00
34415,"Deepak Mehta",100.00
34426,"Ananya Bansal",100.00
34431,"Priya Kapoor",100.00
34442,"Yash Rao",100.00
34444,"Kavya Rao",100.00
34466,"Krishna Reddy",100.00
34471,"Tanmay Nair",100.00
34472,"Vivaan Pandey",100.00
34482,"Aditya Jain",100.00
34485,"Kavya Reddy",100.00
34493,"Ritika Jain",100.00
34498,"Mohit Pandey",100.00
34501,"Vivaan Joshi",100.00
34514,"Siddharth Sinha",100.00
34524,"Diya Khanna",100.00
34525,"Ishaan Patel",100.00
34528,"Ishaan Thakur",100.00
34554,"Kunal Patel",100.00
34560,"Diya Ghosh",100.00
34565,"Aditya Iyer",100.00
34567,"Rahul Sinha",100.00
34576,"Ishaan Reddy",100.00
34577,"Kavya Rao",100.00
34592,"Ananya Reddy",100.00
34594,"Vivaan Nair",100.00
34601,"Kavya Choudhary",100.00
34612,"Pooja Rao",100.00
34618,"Rohan Bansal",100.00
34625,"Vivaan Nair",100.00
34630,"Varun Sinha",100.00
34637,"Diya Verma",100.00
34646,"Pooja Pandey",100.00
34650,"Aman Iyer",100.00
34662,"Manav Nair",100.00
34667,"Nikhil Iyer",100.00
34674,"Aditya Menon",100.00
34723,"Rohan Das",100.00
34736,"Neha Joshi",100.00
34740,"Krishna Sharma",100.00
34742,"Ishaan Thakur",100.00
34756,"Priya Reddy",100.00
34768,"Ananya Pandey",100.00
34800,"Om Sinha",100.00
34815,"Ananya Sinha",100.00
34833,"Ananya Agarwal",100.00
34841,"Harsh Agarwal",100.00
34842,"Mohit Mehta",100.00
34849,"Sneha Pandey",100.00
34855,"Diya Iyer",100.00
34867,"Aman Bansal",100.00
34873,"Vivaan Mehta",100.00
34875,"Rahul Gupta",100.00
34897,"Ritika Kapoor",100.00
34904,"Pooja Kapoor",100.00
34916,"Rahul Verma",100.00
34919,"Manav Verma",100.00
34921,"Aman Jain",100.00
34923,"Kunal Reddy",100.00
34933,"Manav Das",100.00
34941,"Sai Jain",100.00
34956,"Om Joshi",100.00
34979,"Rahul Sinha",100.00
34992,"Siddharth Bansal",100.00
34993,"Harsh Sinha",100.00
34998,"Aman Patel",100.00
35021,"Ananya Rao",100.00
35050,"Neha Das",100.00
35053,"Siddharth Kapoor",100.00
35060,"Sneha Mehta",100.00
35065,"Ananya Kapoor",100.00
35066,"Ritesh Dubey",100.00
35074,"Krishna Patel",100.00
35077,"Om Bansal",100.00
35081,"Deepak Khanna",100.00
35086,"Yash Sinha",100.00
35088,"Sai Menon",100.00
35090,"Sneha Das",100.00
35117,"Krishna Das",100.00
35122,"Kunal Nair",100.00
35123,"Nikhil Pandey",100.00
35125,"Nikhil Khanna",100.00
35130,"Mohit Iyer",100.00
35135,"Sneha Nair",100.00
35143,"Sneha Das",100.00
35148,"Rahul Thakur",100.00
35170,"Yash Gupta",100.00
35174,"Kavya Patel",100.00
35220,"Tanmay Gupta",100.00
35232,"Pooja Thakur",100.00
35277,"Varun Iyer",100.00
35280,"Deepak Khanna",100.00
35288,"Pooja Bansal",100.00
35295,"Nikhil Verma",100.00
35298,"Nikhil Nair",100.00
35299,"Aditi Pandey",100.00
35302,"Siddharth Kapoor",100.00
35315,"Ishaan Rao",100.00
35317,"Krishna Patel",100.00
35319,"Tanmay Jain",100.00
35327,"Kavya Thakur",100.00
35360,"Siddharth Reddy",100.00
35366,"Mohit Jain",100.00
35369,"Harsh Rao",100.00
35395,"Krishna Reddy",100.00
35401,"Aditi Iyer",100.00
35406,"Deepak Joshi",100.00
35412,"Rohan Gupta",100.00
35414,"Ishaan Sinha",100.00
35431,"Kunal Iyer",100.00
35436,"Tanmay Nair",100.00
35438,"Sneha Mehta",100.00
35445,"Priya Sharma",100.00
35468,"Diya Sinha",100.00
35473,"Priya Reddy",100.00
35483,"Yash Khanna",100.00
35513,"Sai Ghosh",100.00
35529,"Mohit Sharma",100.00
35531,"Om Iyer",100.00
35590,"Kunal Pandey",100.00
35593,"Priya Verma",100.00
35612,"Dev Iyer",100.00
35613,"Ritesh Verma",100.00
35615,"Deepak Reddy",100.00
35635,"Ritesh Nair",100.00
35638,"Dev Joshi",100.00
35642,"Ritika Menon",100.00
35653,"Aman Das",100.00
35655,"Harsh Kapoor",100.00
35669,"Om Gupta",100.00
35678,"Dev Thakur",100.00
35679,"Priya Nair",100.00
35684,"Aman Das",100.00
35686,"Dev Agarwal",100.00
35710,"Meera Khanna",100.00
35721,"Pooja Mehta",100.00
35731,"Ishaan Mehta",100.00
35742,"Harsh Rao",100.00
35743,"Yash Sharma",100.00
35748,"Kunal Joshi",100.00
35749,"Varun Nair",100.00
35769,"Diya Joshi",100.00
35770,"Vivaan Mehta",100.00
35772,"Arjun Reddy",100.00
35778,"Diya Sharma",100.00
35784,"Kunal Bansal",100.00
35792,"Ananya Sinha",100.00
35796,"Sai Jain",100.00
35805,"Mohit Nair",100.00
35816,"Meera Verma",100.00
35823,"Pooja Menon",100.00
35824,"Aditi Ghosh",100.00
35839,"Rahul Gupta",100.00
35843,"Varun Agarwal",100.00
35845,"Nikhil Ghosh",100.00
35847,"Krishna Patel",100.00
35882,"Priya Menon",100.00
35889,"Aman Das",100.00
35892,"Dev Mehta",100.00
35900,"Diya Mehta",100.00
35914,"Aarav Dubey",100.00
35936,"Ritesh Iyer",100.00
35942,"Deepak Joshi",100.00
35968,"Kunal Reddy",100.00
35973,"Manav Sinha",100.00
35985,"Krishna Menon",100.00
35986,"Siddharth Dubey",100.00
35989,"Harsh Kapoor",100.00
36012,"Ritesh Joshi",100.00
36038,"Sneha Jain",100.00
36044,"Rohan Bansal",100.00
36056,"Rahul Pandey",100.00
36070,"Diya Mehta",100.00
36078,"Deepak Das",100.00
36088,"Meera Rao",100.00
36094,"Varun Iyer",100.00
36100,"Yash Choudhary",100.00
36155,"Aman Reddy",100.00
36159,"Tanmay Pandey",100.00
36180,"Sai Jain",100.00
36189,"Aditi Verma",100.00
36201,"Vivaan Thakur",100.00
36215,"Krishna Verma",100.00
36227,"Rohan Iyer",100.00
36257,"Deepak Reddy",100.00
36263,"Meera Ghosh",100.00
36267,"Manav Rao",100.00
36270,"Ishaan Mehta",100.00
36283,"Meera Rao",100.00
36293,"Rohan Sharma",100.00
36309,"Manav Sinha",100.00
36319,"Neha Das",100.00
36330,"Aditi Menon",100.00
36338,"Om Reddy",100.00
36345,"Aarav Khanna",100.00
36349,"Siddharth Verma",100.00
36351,"Ritesh Reddy",100.00
36366,"Nikhil Patel",100.00
36376,"Ananya Reddy",100.00
36412,"Sneha Gupta",100.00
36421,"Sai Khanna",100.00
36432,"Rahul Das",100.00
36441,"Mohit Nair",100.00
36444,"Mohit Reddy",100.00
36456,"Mohit Agarwal",100.00
36457,"Meera Bansal",100.00
36465,"Pooja Menon",100.00
36476,"Pooja Menon",100.00
36477,"Rahul Thakur",100.00
36479,"Aditi Gupta",100.00
36481,"Rohan Sharma",100.00
36483,"Ishaan Pandey",100.00
36486,"Aditya Agarwal",100.00
36496,"Harsh Menon",100.00
36518,"Vivaan Kapoor",100.00
36529,"Deepak Reddy",100.00
36557,"Aarav Patel",100.00
36560,"Kavya Dubey",100.00
36562,"Ishaan Choudhary",100.00
36573,"Aarav Khanna",100.00
36575,"Kunal Pandey",100.00
36593,"Ananya Iyer",100.00
36595,"Manav Nair",100.00
36598,"Priya Joshi",100.00
36602,"Rahul Pandey",100.00
36610,"Ritika Mehta",100.00
36615,"Yash Reddy",100.00
36621,"Om Rao",100.00
36628,"Kavya Reddy",100.00
36639,"Kavya Thakur",100.00
36645,"Kunal Sinha",100.00
36653,"Aditi Das",100.00
36657,"Aditi Mehta",100.00
36667,"Manav Patel",100.00
36671,"Diya Dubey",100.00
36673,"Diya Das",100.00
36680,"Mohit Reddy",100.00
36683,"Sai Thakur",100.00
36685,"Rahul Dubey",100.00
36690,"Om Choudhary",100.00
36697,"Aditya Kapoor",100.00
36704,"Priya Pandey",100.00
36711,"Krishna Verma",100.00
36737,"Mohit Sinha",100.00
36772,"Aditya Mehta",100.00
36777,"Krishna Mehta",100.00
36792,"Tanmay Dubey",100.00
36805,"Aditya Verma",100.00
36812,"Tanmay Khanna",100.00
36841,"Priya Agarwal",100.00
36846,"Ritika Sharma",100.00
36849,"Nikhil Kapoor",100.00
36856,"Deepak Bansal",100.00
36864,"Tanmay Jain",100.00
36869,"Tanmay Joshi",100.00
36875,"Diya Choudhary",100.00
36899,"Diya Ghosh",100.00
36920,"Priya Iyer",100.00
36921,"Mohit Sinha",100.00
36938,"Vivaan Das",100.00
36942,"Ritika Gupta",100.00
36945,"Aditi Jain",100.00
36948,"Manav Dubey",100.00
36954,"Nikhil Reddy",100.00
36958,"Deepak Gupta",100.00
36959,"Mohit Bansal",100.00
36964,"Dev Dubey",100.00
36966,"Aditi Sharma",100.00
36972,"Ritika Kapoor",100.00
36975,"Mohit Pandey",100.00
36981,"Ritika Patel",100.00
37002,"Vivaan Das",100.00
37011,"Sai Choudhary",100.00
37020,"Kavya Sharma",100.00
37021,"Arjun Reddy",100.00
37022,"Kunal Kapoor",100.00
37032,"Dev Kapoor",100.00
37037,"Ishaan Verma",100.00
37063,"Mohit Sinha",100.00
37067,"Harsh Nair",100.00
37069,"Ritesh Sharma",100.00
37103,"Sai Gupta",100.00
37121,"Rohan Iyer",100.00
37125,"Dev Pandey",100.00
37130,"Aditya Kapoor",100.00
37137,"Ritika Thakur",100.00
37165,"Aarav Sharma",100.00
37188,"Nikhil Joshi",100.00
37192,"Aman Reddy",100.00
37208,"Neha Mehta",100.00
37210,"Ritika Patel",100.00
37226,"Om Jain",100.00
37227,"Ananya Joshi",100.00
37234,"Priya Gupta",100.00
37235,"Varun Kapoor",100.00
37240,"Neha Das",100.00
37259,"Sneha Kapoor",100.00
37269,"Siddharth Das",100.00
37295,"Dev Sinha",100.00
37305,"Aditi Patel",100.00
37309,"Arjun Das",100.00
37316,"Ritika Rao",100.00
37322,"Siddharth Bansal",100.00
37329,"Sneha Choudhary",100.00
37330,"Tanmay Iyer",100.00
37334,"Krishna Bansal",100.00
37361,"Deepak Kapoor",100.00
37374,"Kavya Rao",100.00
37385,"Yash Reddy",100.00
37386,"Rahul Gupta",100.00
37389,"Kunal Joshi",100.00
37407,"Yash Pandey",100.00
