full_name,course_name,present_days,total_days
"Meera Agarwal","Industrial Engineering",1,1
"Ananya Rao","Industrial Engineering",1,1
"Priya Pandey","Industrial Engineering",1,1
"Tanmay Kapoor","Industrial Engineering",1,1
"Pooja Rao","Industrial Engineering",1,1
"Harsh Mehta","Industrial Engineering",1,1
"Krishna Mehta","Industrial Engineering",1,1
"Ritika Patel","Industrial Engineering",1,1
"Krishna Khanna","Industrial Engineering",1,1
"Om Dubey","Industrial Engineering",1,1
"Neha Jain","Industrial Engineering",1,1
"Manav Khanna","Industrial Engineering",1,1
"Nikhil Mehta","Industrial Engineering",1,1
"Kavya Reddy","Industrial Engineering",1,1
"Sneha Pandey","Plant Engineering",1,1
"Manav Mehta","Plant Engineering",2,2
"Varun Joshi","Plant Engineering",1,1
"Yash Joshi","Plant Engineering",1,1
"Diya Gupta","Plant Engineering",1,1
"Aditya Sharma","Plant Engineering",1,1
"Sai Gupta","Plant Engineering",1,2
"Ishaan Jain","Plant Engineering",1,1
"Neha Mehta","Plant Engineering",1,2
"Pooja Patel","Plant Engineering",0,1
"Aditya Khanna","Plant Engineering",1,1
"Rohan Reddy","Plant Engineering",1,2
"Arjun Patel","Plant Engineering",1,1
"Varun Menon","Plant Engineering",3,3
"Arjun Joshi","Plant Engineering",1,1
"Aarav Mehta","Plant Engineering",2,2
"Yash Nair","Plant Engineering",1,1
"Kunal Reddy","Plant Engineering",1,2
"Tanmay Thakur","Plant Engineering",1,1
"Ritika Bansal","Plant Engineering",1,1
"Kavya Jain","Plant Engineering",1,1
"Rohan Kapoor","Plant Engineering",1,1
"Yash Pandey","Plant Engineering",3,3
"Varun Nair","Plant Engineering",2,2
"Neha Ghosh","Plant Engineering",0,1
"Yash Reddy","Plant Engineering",1,1
"Vivaan Verma","Plant Engineering",0,1
"Tanmay Patel","Plant Engineering",1,1
"Vivaan Mehta","Plant Engineering",0,1
"Mohit Das","Plant Engineering",1,1
"Mohit Kapoor","Plant Engineering",1,1
"Sai Nair","Plant Engineering",1,1
"Sneha Reddy","Plant Engineering",1,1
"Kunal Khanna","Plant Engineering",1,2
"Kunal Menon","Plant Engineering",1,1
"Pooja Kapoor","Plant Engineering",1,1
"Ritesh Choudhary","Plant Engineering",0,1
"Pooja Gupta","Plant Engineering",1,2
"Harsh Mehta","Plant Engineering",1,1
"Deepak Pandey","Plant Engineering",1,1
"Rahul Nair","Plant Engineering",1,1
"Ishaan Iyer","Plant Engineering",0,1
"Ishaan Sinha","Plant Engineering",1,1
"Ishaan Agarwal","Plant Engineering",1,1
"Dev Sharma","Plant Engineering",1,1
"Ritika Kapoor","Plant Engineering",0,1
"Meera Rao","Plant Engineering",2,2
"Pooja Das","Plant Engineering",1,1
"Aarav Joshi","Plant Engineering",1,1
"Siddharth Mehta","Plant Engineering",2,2
"Ritika Das","Plant Engineering",0,1
"Ritesh Pandey","Plant Engineering",1,1
"Harsh Joshi","Plant Engineering",1,1
"Kavya Agarwal","Plant Engineering",1,1
"Arjun Sharma","Plant Engineering",1,1
"Arjun Das","Plant Engineering",1,1
"Rohan Bansal","Plant Engineering",1,1
"Tanmay Joshi","Plant Engineering",1,1
"Yash Bansal","Plant Engineering",2,2
"Aarav Verma","Plant Engineering",1,1
"Pooja Reddy","Plant Engineering",2,2
"Aditya Patel","Plant Engineering",2,2
"Vivaan Thakur","Plant Engineering",1,1
"Ritika Sinha","Plant Engineering",1,1
"Neha Khanna","Plant Engineering",0,1
"Tanmay Jain","Plant Engineering",1,1
"Mohit Rao","Plant Engineering",1,2
"Ishaan Bansal","Plant Engineering",1,1
"Vivaan Menon","Plant Engineering",1,2
"Siddharth Thakur","Plant Engineering",0,1
"Neha Sharma","Plant Engineering",1,1
"Yash Thakur","Plant Engineering",1,1
"Ritika Nair","Plant Engineering",1,1
"Nikhil Ghosh","Plant Engineering",1,1
"Om Agarwal","Plant Engineering",1,1
"Pooja Bansal","Plant Engineering",1,1
"Kunal Verma","Plant Engineering",1,1
"Aditi Verma","Plant Engineering",1,1
"Aman Pandey","Plant Engineering",1,1
"Rohan Agarwal","Plant Engineering",1,1
"Ananya Joshi","Plant Engineering",0,1
"Meera Pandey","Plant Engineering",1,1
"Kunal Mehta","Plant Engineering",1,1
"Rohan Pandey","Plant Engineering",1,1
"Sai Agarwal","Plant Engineering",2,2
"Ritika Verma","Plant Engineering",1,1
"Kunal Gupta","Plant Engineering",0,1
"Aarav Jain","Plant Engineering",1,1
"Priya Kapoor","Plant Engineering",0,1
"Deepak Nair","Plant Engineering",1,1
"Pooja Joshi","Plant Engineering",0,1
"Yash Choudhary","Plant Engineering",1,1
"Nikhil Verma","Plant Engineering",1,1
"Tanmay Pandey","Plant Engineering",1,1
"Yash Sharma","Plant Engineering",1,1
"Tanmay Dubey","Plant Engineering",1,1
"Ishaan Sharma","Plant Engineering",1,1
"Aditi Rao","Plant Engineering",1,1
"Diya Joshi","Plant Engineering",0,1
"Sneha Rao","Plant Engineering",1,1
"Nikhil Agarwal","Plant Engineering",1,1
"Mohit Agarwal","Plant Engineering",1,1
"Kavya Thakur","Plant Engineering",1,1
"Kavya Mehta","Plant Engineering",1,1
"Krishna Joshi","Plant Engineering",1,1
"Manav Reddy","Plant Engineering",1,1
"Krishna Mehta","Plant Engineering",0,1
"Ishaan Verma","Plant Engineering",1,1
"Neha Kapoor","Plant Engineering",0,1
"Vivaan Pandey","Plant Engineering",1,1
"Pooja Kapoor","Software Architecture",0,1
"Ishaan Bansal","Software Architecture",1,1
"Krishna Nair","Software Architecture",2,2
"Yash Jain","Software Architecture",0,1
"Dev Jain","Software Architecture",0,1
"Pooja Iyer","Software Architecture",3,3
"Kunal Khanna","Software Architecture",2,2
"Om Agarwal","Software Architecture",1,1
"Priya Iyer","Software Architecture",0,1
"Manav Nair","Software Architecture",2,2
"Pooja Reddy","Software Architecture",0,1
"Harsh Patel","Software Architecture",1,2
"Vivaan Khanna","Software Architecture",2,3
"Krishna Mehta","Software Architecture",1,1
"Arjun Gupta","Software Architecture",1,1
"Krishna Ghosh","Software Architecture",1,1
"Yash Rao","Software Architecture",1,1
"Harsh Bansal","Software Architecture",1,1
"Aditya Kapoor","Software Architecture",1,1
"Nikhil Verma","Software Architecture",2,2
"Aarav Kapoor","Software Architecture",2,2
"Sneha Ghosh","Software Architecture",0,1
"Mohit Sharma","Software Architecture",0,1
"Ritika Patel","Software Architecture",0,1
"Varun Reddy","Software Architecture",1,1
"Aditya Menon","Software Architecture",3,3
"Varun Dubey","Software Architecture",1,1
"Rohan Kapoor","Software Architecture",1,1
"Priya Jain","Software Architecture",1,1
"Ritika Sharma","Software Architecture",1,1
"Meera Khanna","Software Architecture",2,2
"Sneha Pandey","Software Architecture",1,1
"Ananya Iyer","Software Architecture",2,3
"Aditi Sinha","Software Architecture",2,2
"Ananya Das","Software Architecture",1,1
"Diya Ghosh","Software Architecture",1,1
"Mohit Joshi","Software Architecture",1,1
"Siddharth Das","Software Architecture",2,2
"Dev Rao","Software Architecture",1,1
"Dev Ghosh","Software Architecture",2,2
"Kavya Ghosh","Software Architecture",0,1
"Mohit Khanna","Software Architecture",3,4
"Kunal Menon","Software Architecture",0,1
"Kavya Dubey","Software Architecture",0,1
"Kunal Pandey","Software Architecture",1,1
"Kavya Iyer","Software Architecture",1,2
"Ritesh Menon","Software Architecture",1,1
"Ananya Kapoor","Software Architecture",1,1
"Varun Joshi","Software Architecture",2,3
"Siddharth Ghosh","Software Architecture",0,1
"Aarav Das","Software Architecture",0,1
"Ritika Bansal","Software Architecture",2,3
"Ishaan Dubey","Software Architecture",1,1
"Aman Patel","Software Architecture",1,1
"Manav Sinha","Software Architecture",0,1
"Ishaan Choudhary","Software Architecture",1,1
"Manav Gupta","Software Architecture",1,2
"Harsh Menon","Software Architecture",1,1
"Ritesh Khanna","Software Architecture",2,2
"Sneha Gupta","Software Architecture",0,1
"Aditya Gupta","Software Architecture",1,1
"Dev Gupta","Software Architecture",1,1
"Varun Rao","Software Architecture",1,1
"Ritika Kapoor","Software Architecture",1,1
"Om Joshi","Software Architecture",1,2
"Yash Bansal","Software Architecture",1,1
"Priya Sinha","Software Architecture",1,1
"Vivaan Jain","Software Architecture",0,1
"Mohit Rao","Software Architecture",1,1
"Diya Jain","Software Architecture",2,2
"Mohit Reddy","Software Architecture",1,1
"Neha Iyer","Software Architecture",1,2
"Ritika Gupta","Software Architecture",1,1
"Sneha Jain","Software Architecture",1,2
"Manav Sharma","Software Architecture",1,1
"Kunal Patel","Software Architecture",2,2
"Yash Ghosh","Software Architecture",0,1
"Meera Gupta","Software Architecture",1,1
"Ritika Dubey","Software Architecture",1,1
"Diya Kapoor","Software Architecture",1,1
"Varun Menon","Software Architecture",1,1
"Meera Kapoor","Software Architecture",1,1
"Sai Menon","Software Architecture",0,1
"Tanmay Jain","Software Architecture",1,1
"Siddharth Bansal","Software Architecture",0,1
"Harsh Pandey","Software Architecture",1,1
"Ishaan Kapoor","Software Architecture",0,1
"Arjun Kapoor","Software Architecture",1,1
"Aman Das","Software Architecture",0,1
"Arjun Bansal","Software Architecture",0,1
"Om Thakur","Software Architecture",1,1
"Aman Reddy","Software Architecture",1,1
"Diya Agarwal","Software Architecture",1,1
"Deepak Thakur","Software Architecture",2,2
"Aditi Khanna","Software Architecture",1,1
"Sai Agarwal","Software Architecture",1,1
"Rohan Iyer","Software Architecture",0,1
"Ritika Khanna","Software Architecture",1,1
"Vivaan Ghosh","Software Architecture",0,1
"Krishna Menon","Software Architecture",1,1
"Vivaan Pandey","Software Architecture",1,1
"Ananya Reddy","Software Architecture",0,1
"Tanmay Iyer","Software Architecture",1,1
"Rahul Dubey","Software Architecture",1,1
"Kavya Agarwal","Software Architecture",1,1
"Tanmay Mehta","Software Architecture",0,1
"Siddharth Gupta","Software Architecture",1,1
"Priya Bansal","Software Architecture",1,1
"Deepak Ghosh","Software Architecture",1,1
"Sai Joshi","Software Architecture",1,1
"Tanmay Reddy","Software Architecture",1,1
"Aditi Jain","Software Architecture",2,3
"Kavya Thakur","Software Architecture",1,1
"Siddharth Verma","Software Architecture",1,1
"Ishaan Sinha","Software Architecture",1,1
"Nikhil Sinha","Software Architecture",0,1
"Deepak Choudhary","Software Architecture",1,1
"Mohit Nair","Software Architecture",1,1
"Aarav Khanna","Software Architecture",0,1
"Varun Jain","Software Architecture",1,1
"Kavya Pandey","Software Architecture",2,2
"Diya Gupta","Software Architecture",1,1
"Pooja Choudhary","Software Architecture",1,1
"Pooja Jain","Software Architecture",1,2
"Rohan Nair","Software Architecture",1,1
"Aditi Patel","Software Architecture",0,1
"Pooja Mehta","Software Architecture",1,1
"Kavya Reddy","Software Architecture",1,1
"Nikhil Bansal","Software Architecture",1,1
"Ritesh Jain","Software Architecture",0,1
"Yash Patel","Software Architecture",1,1
"Diya Menon","Software Architecture",0,1
"Aarav Sharma","Software Architecture",1,1
"Ishaan Rao","Software Architecture",1,1
"Ananya Jain","Software Architecture",0,1
"Deepak Bansal","Software Architecture",1,1
"Kavya Das","Software Architecture",1,1
"Aman Ghosh","Software Architecture",1,1
"Neha Gupta","Software Architecture",1,1
"Aditi Pandey","Software Architecture",1,1
"Aman Ghosh","Electrical Measurements",1,1
"Tanmay Reddy","Electrical Measurements",0,1
"Kunal Choudhary","Electrical Measurements",1,1
"Aarav Khanna","Electrical Measurements",1,2
"Manav Patel","Electrical Measurements",1,1
"Siddharth Nair","Electrical Measurements",1,1
"Vivaan Nair","Electrical Measurements",2,4
"Pooja Choudhary","Electrical Measurements",2,2
"Ritesh Thakur","Electrical Measurements",1,1
"Harsh Sinha","Electrical Measurements",1,1
"Meera Ghosh","Electrical Measurements",0,1
"Arjun Patel","Electrical Measurements",2,2
"Varun Kapoor","Electrical Measurements",0,1
"Ishaan Dubey","Electrical Measurements",2,2
"Ritika Das","Electrical Measurements",1,1
"Om Bansal","Electrical Measurements",1,1
"Aarav Agarwal","Electrical Measurements",0,1
"Aditi Joshi","Electrical Measurements",1,1
"Aditya Dubey","Electrical Measurements",1,1
"Priya Sinha","Electrical Measurements",2,2
"Yash Joshi","Electrical Measurements",1,1
"Siddharth Jain","Electrical Measurements",2,2
"Ritika Pandey","Electrical Measurements",1,1
"Priya Iyer","Electrical Measurements",0,1
"Tanmay Patel","Electrical Measurements",1,1
"Dev Ghosh","Electrical Measurements",2,2
"Ishaan Pandey","Electrical Measurements",1,1
"Kunal Mehta","Electrical Measurements",1,1
"Arjun Rao","Electrical Measurements",0,1
"Kunal Khanna","Electrical Measurements",1,1
"Diya Sharma","Electrical Measurements",0,2
"Vivaan Jain","Electrical Measurements",1,1
"Deepak Dubey","Electrical Measurements",0,1
"Aarav Joshi","Electrical Measurements",1,1
"Aman Iyer","Electrical Measurements",1,1
"Ritika Patel","Electrical Measurements",1,1
"Pooja Pandey","Electrical Measurements",0,1
"Kunal Kapoor","Electrical Measurements",1,1
"Mohit Rao","Electrical Measurements",2,2
"Manav Reddy","Electrical Measurements",1,1
"Aarav Choudhary","Electrical Measurements",1,1
"Arjun Verma","Electrical Measurements",1,1
"Meera Joshi","Electrical Measurements",0,1
"Tanmay Verma","Electrical Measurements",0,1
"Priya Verma","Electrical Measurements",1,1
"Krishna Choudhary","Electrical Measurements",1,1
"Neha Agarwal","Electrical Measurements",1,1
"Harsh Das","Electrical Measurements",2,2
"Vivaan Choudhary","Electrical Measurements",2,2
"Deepak Pandey","Electrical Measurements",1,1
"Sneha Iyer","Electrical Measurements",1,1
"Rahul Kapoor","Electrical Measurements",0,1
"Neha Dubey","Electrical Measurements",1,2
"Aditi Kapoor","Electrical Measurements",1,1
"Kunal Thakur","Electrical Measurements",0,1
"Deepak Agarwal","Electrical Measurements",1,1
"Ananya Khanna","Electrical Measurements",1,3
"Dev Das","Electrical Measurements",0,1
"Deepak Sharma","Electrical Measurements",0,1
"Aarav Gupta","Electrical Measurements",0,1
"Meera Patel","Electrical Measurements",0,1
"Krishna Patel","Electrical Measurements",0,1
"Aarav Sharma","Electrical Measurements",1,1
"Tanmay Rao","Electrical Measurements",1,1
"Rahul Dubey","Electrical Measurements",1,1
"Nikhil Kapoor","Electrical Measurements",1,1
"Pooja Patel","Electrical Measurements",1,1
"Krishna Verma","Electrical Measurements",1,1
"Sneha Choudhary","Electrical Measurements",2,2
"Kunal Sinha","Electrical Measurements",0,1
"Om Verma","Electrical Measurements",2,2
"Om Choudhary","Electrical Measurements",2,2
"Sneha Reddy","Electrical Measurements",2,2
"Ritesh Verma","Electrical Measurements",1,1
"Rahul Pandey","Electrical Measurements",1,2
"Ritesh Gupta","Electrical Measurements",0,1
"Tanmay Sharma","Electrical Measurements",1,1
"Tanmay Thakur","Electrical Measurements",1,1
"Kavya Khanna","Electrical Measurements",1,1
"Priya Rao","Electrical Measurements",1,1
"Om Thakur","Electrical Measurements",1,1
"Dev Agarwal","Electrical Measurements",1,1
"Diya Agarwal","Electrical Measurements",1,1
"Sneha Pandey","Electrical Measurements",1,1
"Nikhil Dubey","Electrical Measurements",1,1
"Manav Kapoor","Electrical Measurements",0,1
"Aman Kapoor","Electrical Measurements",1,1
"Sneha Verma","Electrical Measurements",1,1
"Dev Thakur","Electrical Measurements",2,2
"Priya Nair","Electrical Measurements",1,1
"Sai Joshi","Electrical Measurements",1,1
"Nikhil Agarwal","Electrical Measurements",0,1
"Manav Thakur","Electrical Measurements",1,1
"Rohan Rao","Electrical Measurements",1,1
"Rohan Choudhary","Electrical Measurements",1,1
"Yash Agarwal","Electrical Measurements",2,3
"Manav Joshi","Electrical Measurements",0,1
"Mohit Thakur","Electrical Measurements",1,1
"Aman Sharma","Electrical Measurements",1,1
"Nikhil Verma","Electrical Measurements",1,1
"Arjun Sinha","Electrical Measurements",0,1
"Yash Kapoor","Electrical Measurements",1,1
"Ritika Kapoor","Electrical Measurements",1,1
"Yash Menon","Electrical Measurements",0,1
"Yash Jain","Electrical Measurements",1,1
"Yash Sharma","Electrical Measurements",1,1
"Rahul Menon","Electrical Measurements",0,1
"Kunal Reddy","Electrical Measurements",1,1
"Arjun Thakur","Electrical Measurements",0,1
"Kavya Gupta","Electrical Measurements",0,1
"Neha Reddy","Electrical Measurements",1,1
"Aditi Nair","Electrical Measurements",1,1
"Nikhil Reddy","Electrical Measurements",1,1
"Ananya Jain","Electrical Measurements",1,1
"Krishna Mehta","Electrical Measurements",1,1
"Varun Jain","Electrical Measurements",1,1
"Ananya Gupta","Electrical Measurements",0,1
"Pooja Jain","Electrical Measurements",0,1
"Meera Iyer","Electrical Measurements",1,1
"Yash Ghosh","Electrical Measurements",0,1
"Rohan Pandey","Electrical Measurements",1,1
"Om Joshi","Electrical Measurements",0,1
"Ananya Agarwal","Electrical Measurements",1,1
"Arjun Das","Electrical Measurements",0,1
"Ananya Reddy","Electrical Measurements",0,1
"Arjun Jain","Electrical Measurements",0,1
"Deepak Reddy","Electrical Measurements",0,1
"Siddharth Khanna","Electrical Measurements",1,1
"Aman Nair","Electrical Measurements",1,1
"Aditi Iyer","Electrical Measurements",1,1
"Priya Thakur","IoT Hardware Design",2,2
"Mohit Reddy","IoT Hardware Design",2,2
"Tanmay Pandey","IoT Hardware Design",2,2
"Dev Jain","IoT Hardware Design",0,1
"Priya Iyer","IoT Hardware Design",1,1
"Ananya Kapoor","IoT Hardware Design",0,1
"Sai Reddy","IoT Hardware Design",1,1
"Aditya Thakur","IoT Hardware Design",2,2
"Ritika Choudhary","IoT Hardware Design",0,1
"Varun Menon","IoT Hardware Design",0,1
"Meera Gupta","IoT Hardware Design",1,1
"Manav Jain","IoT Hardware Design",1,1
"Neha Gupta","IoT Hardware Design",2,2
"Krishna Reddy","IoT Hardware Design",1,1
"Vivaan Sinha","IoT Hardware Design",1,1
"Krishna Choudhary","IoT Hardware Design",1,1
"Rohan Kapoor","IoT Hardware Design",1,1
"Dev Joshi","IoT Hardware Design",1,1
"Kunal Sinha","IoT Hardware Design",2,2
"Priya Mehta","IoT Hardware Design",2,2
"Sai Nair","IoT Hardware Design",1,1
"Aditya Das","IoT Hardware Design",1,1
"Varun Joshi","IoT Hardware Design",1,1
"Priya Sharma","IoT Hardware Design",0,2
"Deepak Rao","IoT Hardware Design",1,1
"Diya Agarwal","IoT Hardware Design",2,2
"Ananya Reddy","IoT Hardware Design",2,2
"Sai Sharma","IoT Hardware Design",0,1
"Om Kapoor","IoT Hardware Design",1,1
"Sai Patel","IoT Hardware Design",1,1
"Varun Gupta","IoT Hardware Design",1,1
"Tanmay Thakur","IoT Hardware Design",1,1
"Dev Thakur","IoT Hardware Design",1,1
"Deepak Dubey","IoT Hardware Design",0,1
"Arjun Ghosh","IoT Hardware Design",1,1
"Krishna Thakur","IoT Hardware Design",0,1
"Rahul Iyer","IoT Hardware Design",1,1
"Sai Menon","IoT Hardware Design",1,1
"Siddharth Dubey","IoT Hardware Design",0,1
"Pooja Mehta","IoT Hardware Design",1,1
"Sai Kapoor","IoT Hardware Design",0,1
"Dev Patel","IoT Hardware Design",1,1
"Sai Rao","IoT Hardware Design",0,1
"Sneha Reddy","IoT Hardware Design",1,1
"Aman Khanna","IoT Hardware Design",1,1
"Om Thakur","IoT Hardware Design",2,2
"Ritika Menon","IoT Hardware Design",1,1
"Sai Pandey","IoT Hardware Design",0,1
"Meera Dubey","IoT Hardware Design",1,1
"Neha Kapoor","IoT Hardware Design",1,1
"Aarav Mehta","IoT Hardware Design",2,2
"Yash Choudhary","IoT Hardware Design",1,1
"Aman Nair","IoT Hardware Design",0,1
"Aman Das","IoT Hardware Design",1,1
"Yash Sharma","IoT Hardware Design",1,1
"Meera Verma","IoT Hardware Design",1,1
"Manav Das","IoT Hardware Design",2,2
"Siddharth Ghosh","IoT Hardware Design",1,1
"Rohan Ghosh","IoT Hardware Design",2,2
"Arjun Pandey","IoT Hardware Design",0,1
"Harsh Kapoor","IoT Hardware Design",2,2
"Sneha Patel","IoT Hardware Design",1,1
"Rohan Nair","IoT Hardware Design",1,1
"Ritesh Thakur","IoT Hardware Design",1,1
"Neha Thakur","IoT Hardware Design",1,1
"Diya Nair","IoT Hardware Design",1,1
"Diya Joshi","IoT Hardware Design",1,1
"Aditya Kapoor","IoT Hardware Design",1,1
"Rohan Rao","IoT Hardware Design",0,1
"Mohit Agarwal","IoT Hardware Design",2,2
"Mohit Dubey","IoT Hardware Design",1,1
"Ishaan Jain","IoT Hardware Design",1,1
"Mohit Iyer","IoT Hardware Design",1,1
"Varun Bansal","IoT Hardware Design",1,1
"Ritika Pandey","IoT Hardware Design",1,1
"Kavya Mehta","IoT Hardware Design",1,1
"Sneha Verma","IoT Hardware Design",0,1
"Ritika Verma","IoT Hardware Design",0,1
"Vivaan Reddy","IoT Hardware Design",1,1
"Siddharth Thakur","IoT Hardware Design",1,1
"Ishaan Mehta","IoT Hardware Design",0,1
"Rohan Joshi","IoT Hardware Design",1,1
"Manav Agarwal","IoT Hardware Design",1,1
"Ritesh Joshi","IoT Hardware Design",1,1
"Kavya Ghosh","IoT Hardware Design",1,1
"Ananya Verma","IoT Hardware Design",1,1
"Krishna Bansal","IoT Hardware Design",1,2
"Vivaan Gupta","IoT Hardware Design",1,1
"Harsh Thakur","IoT Hardware Design",1,1
"Kunal Khanna","IoT Hardware Design",0,1
"Rohan Sinha","IoT Hardware Design",0,1
"Meera Iyer","IoT Hardware Design",1,1
"Priya Dubey","IoT Hardware Design",1,1
"Tanmay Khanna","IoT Hardware Design",0,1
"Ishaan Choudhary","IoT Hardware Design",0,1
"Om Verma","IoT Hardware Design",0,1
"Manav Sinha","IoT Hardware Design",0,1
"Ishaan Thakur","IoT Hardware Design",1,1
"Yash Mehta","IoT Hardware Design",1,1
"Aditya Bansal","IoT Hardware Design",1,1
"Aditi Thakur","IoT Hardware Design",1,1
"Yash Pandey","IoT Hardware Design",1,1
"Krishna Verma","IoT Hardware Design",1,1
"Tanmay Gupta","IoT Hardware Design",1,1
"Manav Thakur","IoT Hardware Design",1,1
"Siddharth Jain","IoT Hardware Design",1,1
"Rahul Agarwal","IoT Hardware Design",1,1
"Deepak Joshi","IoT Hardware Design",1,1
"Yash Gupta","IoT Hardware Design",1,1
"Sai Mehta","IoT Hardware Design",1,1
"Vivaan Pandey","IoT Hardware Design",1,1
"Varun Jain","IoT Hardware Design",1,1
"Harsh Iyer","IoT Hardware Design",1,1
"Deepak Nair","IoT Hardware Design",1,1
"Yash Menon","Business Intelligence",1,1
"Meera Choudhary","Business Intelligence",1,1
"Ishaan Reddy","Business Intelligence",1,1
"Tanmay Khanna","Business Intelligence",1,1
"Aditya Sinha","Business Intelligence",0,1
"Aarav Sharma","Business Intelligence",2,2
"Yash Sharma","Business Intelligence",1,1
"Dev Thakur","Business Intelligence",2,2
"Nikhil Nair","Business Intelligence",1,1
"Vivaan Iyer","Business Intelligence",2,2
"Rohan Pandey","Business Intelligence",1,1
"Aditya Agarwal","Business Intelligence",2,2
"Deepak Thakur","Business Intelligence",1,2
